,v
AGG,1.0
ALL,1.0
ARKK,1.0
BIL,1.0
BND,1.0
BNDX,1.0
BSV,1.0
CANN,1.0
CARE,1.0
CL,1.0
COMM,1.0
CORP,1.0
DEF,1.0
DGRO,1.0
DSI,1.0
EMB,1.0
EMLC,1.0
EWA,1.0
EWT,1.0
EWW,1.0
EWZ,1.0
FALN,1.0
FAN,1.0
FTSL,1.0
GOVT,1.0
GRID,1.0
HYG,1.0
HYLS,1.0
IBB,1.0
ICLN,1.0
IEF,1.0
IGSB,1.0
IJH,1.0
IJR,1.0
INCO,1.0
INDA,1.0
IPO,1.0
ITA,1.0
IWD,1.0
IWF,1.0
IWM,1.0
JNK,1.0
KLD,1.0
LOAN,1.0
LQD,1.0
MBB,1.0
MCHI,1.0
MIN,1.0
MOAT,1.0
MSCI,1.0
MTUM,1.0
MUB,1.0
MUNI,1.0
NOBL,1.0
PBW,1.0
PHO,1.0
PURE,1.0
QQQ,1.0
QUAL,1.0
RSP,1.0
SCHD,1.0
SHV,1.0
SHY,1.0
SMH,1.0
TAN,1.0
TECH,1.0
TIP,1.0
TIPS,1.0
TLT,1.0
TR,1.0
TRST,1.0
USA,1.0
USFR,1.0
USMV,1.0
VCIT,1.0
VCSH,1.0
VEA,1.0
VEU,1.0
VGK,1.0
VGSH,1.0
VGT,1.0
VHT,1.0
VIG,1.0
VNQ,1.0
VNQI,1.0
VO,1.0
VOO,1.0
VSS,1.0
VT,1.0
VTEB,1.0
VTI,1.0
VTIP,1.0
VTV,1.0
VUG,1.0
VWO,1.0
VXUS,1.0
VYM,1.0
XLB,1.0
XLE,1.0
XLF,1.0
XLI,1.0
XLK,1.0
XLP,1.0
XLU,1.0
XLV,1.0
XLY,1.0
YLD,1.0
PAVE,1.0
ESGU,1.0
BBCA,1.0
ESGV,1.0
MSOS,1.0
JEPI,1.0
COWZ,1.0
LCTU,1.0
XLC,1.0
ESGE,1.0
ESGD,1.0
AVUV,1.0
JPST,1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.000%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.500%_Nov_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.625%_Feb_15,",1.0
"TENOR_DGS10_United_States_Treasury_10-Year_Bond_2.250%_Aug_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.375%_Aug_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.125%_Nov_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_2.750%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.500%_Aug_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.250%_Nov_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.250%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.125%_Aug_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.250%_May_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.375%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.500%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.750%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.375%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.500%_May_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.250%_May_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.500%_Aug_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.375%_Nov_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.625%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_3.875%_Aug_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_3.125%_Nov_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_3.125%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_2.750%_Aug_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_2.875%_May_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_3.625%_Aug_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_3.625%_Feb_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_3.375%_May_15,",1.0
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_3.125%_Aug_15,",1.0
