Gov & MBS,Corp IG,Corp HY,EM Debt,DM Equity,EM Equity,Private Equity,Infrastructure,Real Estate,Hedge Funds
-0.007,-0.004,0.019,0.027,0.062,0.077,0.1284,0.057,0.0423,0.0469
0.032,0.034,0.06,0.073,0.139,0.245,0.241,0.102,0.078,0.069
1,0.6,0,0.3,-0.2,-0.1,-0.3,-0.1,-0.2,-0.2
0.6,1,0.5,0.6,0.1,0.2,0.1,0.1,0.1,0.3
0,0.5,1,0.6,0.6,0.7,0.6,0.3,0.3,0.7
0.3,0.6,0.6,1,0.4,0.6,0.3,0.2,0.2,0.4
-0.2,0.1,0.6,0.4,1,0.7,0.8,0.4,0.4,0.8
-0.1,0.2,0.7,0.6,0.7,1,0.7,0.3,0.4,0.8
-0.3,0.1,0.6,0.3,0.8,0.7,1,0.4,0.5,0.8
-0.1,0.1,0.3,0.2,0.4,0.3,0.4,1,0.4,0.4
-0.2,0.1,0.3,0.2,0.4,0.4,0.5,0.4,1,0.5
-0.2,0.3,0.7,0.4,0.8,0.8,0.8,0.4,0.5,1
