Equity Index,1m,3m,6m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y,15y,16y,17y,18y,19y,20y,21y,22y,23y,24y,25y,26y,27y,28y,29y,30y,1m90,1m95,1m97_5,1m100,1m102_5,1m105,1m110,3m90,3m95,3m97_5,3m100,3m102_5,3m105,3m110,6m90,6m95,6m97_5,6m100,6m102_5,6m105,6m110,1y90,1y95,1y97_5,1y100,1y102_5,1y105,1y110,2y90,2y95,2y97_5,2y100,2y102_5,2y105,2y110,cr1y,cr2y,cr3y,cr4y,cr5y,cr6y,cr7y,cr8y,cr9y,cr10y
100.0,0.306974,0.415789,0.568395,0.839313,1.269176,1.587154,1.825839,2.007783,2.148673,2.259503,2.348038,2.419822,2.478847,2.528025,2.569501,2.604875,2.635354,2.661862,2.685109,2.705653,2.723933,2.740301,2.755039,2.768378,2.780508,2.791586,2.801741,2.811086,2.819713,2.827701,2.83512,2.842027,2.848475,28.886976,27.917759,27.421972,26.943554,26.51447,26.105385,25.397065,28.595651,27.864344,27.452932,26.914144,26.415994,26.066799,25.414097,27.939579,27.219795,26.888766,26.641836,26.384956,26.066377,25.470444,27.444908,26.938619,26.682505,26.493293,26.314141,26.102634,25.689443,27.253956,26.931627,26.777806,26.727914,26.68321,26.538408,26.270673,3.46653,3.387351,3.322905,3.270851,3.228836,3.194803,3.167063,3.144275,3.12539,3.109597
98.675317,0.315879,0.424345,0.57646,0.846504,1.274975,1.591918,1.829823,2.011171,2.151599,2.262064,2.350309,2.421856,2.480687,2.529702,2.571042,2.606299,2.636678,2.663098,2.686268,2.706744,2.724964,2.741278,2.755967,2.769263,2.781352,2.792393,2.802516,2.811829,2.820427,2.82839,2.835783,2.842668,2.849094,29.54947,28.755919,28.378327,27.90159,27.422099,27.01332,26.243696,29.185423,28.346656,27.934227,27.508799,27.119085,26.776692,26.090971,28.814311,28.198557,27.879724,27.433175,26.996781,26.677387,26.120597,27.886736,27.336412,27.080153,26.801637,26.538506,26.310741,25.881914,27.431436,27.199246,27.090468,26.684613,26.292507,26.207366,26.020533,3.487529,3.40482,3.337619,3.2834,3.239669,3.204264,3.175415,3.151722,3.13209,3.115674
99.785099,0.316697,0.42513,0.5772,0.847164,1.275507,1.592355,1.830189,2.011482,2.151868,2.262299,2.350517,2.422043,2.480856,2.529856,2.571183,2.60643,2.636799,2.663211,2.686375,2.706845,2.725059,2.741368,2.756053,2.769344,2.78143,2.792467,2.802587,2.811897,2.820493,2.828453,2.835844,2.842727,2.849151,29.863034,29.078809,28.680519,28.143418,27.682871,27.415756,26.946327,29.278384,28.462892,28.058851,27.631968,27.213431,26.848008,26.106654,28.708828,27.965583,27.60917,27.301276,26.993902,26.63774,25.977031,28.010701,27.419271,27.145562,27.079474,27.013044,26.758084,26.271054,27.293265,26.994834,26.849516,26.923844,26.984422,26.835237,26.531451,3.405938,3.33694,3.280444,3.234637,3.197572,3.167498,3.142957,3.122781,3.106052,3.092056
98.808764,0.314546,0.423064,0.575252,0.845427,1.274106,1.591204,1.829227,2.010664,2.151161,2.261681,2.349969,2.421551,2.480411,2.529451,2.570811,2.606086,2.63648,2.662913,2.686095,2.706581,2.72481,2.741132,2.755828,2.76913,2.781226,2.792272,2.8024,2.811718,2.82032,2.828286,2.835684,2.842572,2.849001,30.139629,29.313907,28.876909,28.435535,27.967138,27.621183,27.104255,29.947566,29.072264,28.664214,28.293326,27.933121,27.582375,26.83168,29.138608,28.44732,28.115774,27.827151,27.561895,27.270793,26.642726,28.251306,27.697941,27.447304,27.317682,27.204285,26.957016,26.485743,27.492499,27.14044,26.9821,26.933486,26.892677,26.755391,26.488881,3.336271,3.278973,3.231614,3.192989,3.161614,3.136092,3.11523,3.098057,3.083807,3.071878
96.676413,0.311534,0.42017,0.572524,0.842995,1.272145,1.589593,1.827879,2.009518,2.150171,2.260814,2.349201,2.420863,2.479789,2.528884,2.57029,2.605604,2.636032,2.662495,2.685703,2.706212,2.724461,2.740801,2.755514,2.768831,2.780941,2.791999,2.802138,2.811467,2.820079,2.828054,2.83546,2.842355,2.848792,30.848248,29.616451,29.094257,28.647838,28.313202,27.926861,27.174205,29.95471,29.132299,28.768176,28.258689,27.797019,27.501778,26.832828,29.474355,28.802244,28.487603,28.057057,27.661489,27.382062,26.828536,28.270942,27.740601,27.480318,27.353494,27.245964,27.018539,26.625174,27.622784,27.273699,27.107237,27.210886,27.312737,27.157169,26.857251,3.404906,3.336081,3.279721,3.23402,3.197039,3.167032,3.142546,3.122414,3.105722,3.091757
93.136449,0.319757,0.42807,0.579972,0.849635,1.2775,1.593992,1.831558,2.012646,2.152873,2.26318,2.351297,2.422742,2.481488,2.530433,2.571712,2.606919,2.637254,2.663636,2.686773,2.70722,2.725413,2.741703,2.756372,2.769648,2.78172,2.792745,2.802853,2.812153,2.820739,2.828689,2.836072,2.842947,2.849364,31.396749,30.657428,30.290198,29.679915,29.119197,28.83256,28.546895,30.761657,30.085319,29.704858,29.097992,28.511578,28.186298,27.564561,29.488605,28.903617,28.611728,28.26268,27.904082,27.612878,27.073405,28.272224,27.753668,27.526152,27.309043,27.103497,26.903739,26.534217,27.409178,27.0998,26.957619,26.889861,26.831319,26.69263,26.408919,3.563844,3.468302,3.391084,3.328995,3.27903,3.238638,3.205761,3.178778,3.156433,3.137754
94.706933,0.313534,0.422091,0.574335,0.84461,1.273447,1.590663,1.828774,2.010279,2.150828,2.261389,2.349711,2.42132,2.480202,2.529261,2.570636,2.605924,2.636329,2.662772,2.685963,2.706457,2.724693,2.741021,2.755723,2.76903,2.78113,2.792181,2.802312,2.811634,2.820239,2.828208,2.835609,2.842499,2.848931,31.241189,30.342494,29.862359,29.469777,29.063185,28.614137,27.798062,30.338326,29.786325,29.521005,29.155219,28.785221,28.430059,27.682609,29.193772,28.479559,28.132531,27.849598,27.583694,27.302667,26.778738,28.231886,27.771989,27.567672,27.283429,27.008734,26.82619,26.470627,27.499519,27.226968,27.094,27.104987,27.109034,26.960353,26.670942,3.498315,3.413792,3.345176,3.289845,3.245233,3.209123,3.179705,3.155547,3.135531,3.118795
95.752442,0.314326,0.422852,0.575053,0.845249,1.273963,1.591087,1.829128,2.01058,2.151089,2.261617,2.349913,2.421501,2.480366,2.52941,2.570773,2.60605,2.636447,2.662882,2.686066,2.706554,2.724784,2.741107,2.755805,2.769108,2.781205,2.792252,2.80238,2.8117,2.820303,2.828269,2.835668,2.842556,2.848986,31.646482,30.751782,30.396712,30.046266,29.660334,29.377758,28.744134,30.7766,30.047714,29.652076,29.315767,28.980235,28.586715,27.871698,29.888902,29.150021,28.768617,28.439412,28.121833,27.785344,27.227873,28.398633,27.87179,27.625121,27.582106,27.553809,27.345117,26.9164,27.550629,27.211343,27.045754,27.124951,27.204652,27.046243,26.736034,3.511663,3.424896,3.354528,3.29782,3.252118,3.215136,3.185013,3.16028,3.13979,3.122658
93.921376,0.317886,0.426273,0.578277,0.848124,1.276281,1.592991,1.830721,2.011934,2.152258,2.262641,2.35082,2.422314,2.481101,2.53008,2.571389,2.60662,2.636976,2.663376,2.68653,2.70699,2.725197,2.741498,2.756177,2.769462,2.781543,2.792575,2.80269,2.811997,2.820588,2.828545,2.835933,2.842812,2.849234,33.138689,32.441527,32.057264,31.603101,31.138302,30.813679,30.250417,31.943849,31.135418,30.740139,30.274643,29.820477,29.500705,28.914903,30.347585,29.732665,29.444262,29.060238,28.682216,28.418161,27.954328,29.23099,28.724745,28.492729,28.275377,28.053419,27.838706,27.430478,28.319524,28.020822,27.884163,27.737802,27.595563,27.455802,27.189009,3.674271,3.560146,3.468427,3.394947,3.335959,3.288352,3.249647,3.217906,3.191634,3.169682
92.288751,0.304706,0.41361,0.566341,0.837481,1.267699,1.585941,1.824825,2.00692,2.147928,2.25885,2.34746,2.419304,2.478378,2.527598,2.569108,2.604512,2.635017,2.661547,2.684814,2.705375,2.723671,2.740052,2.754803,2.768153,2.780293,2.79138,2.801544,2.810897,2.819531,2.827526,2.834951,2.841864,2.848317,33.963058,33.205414,32.736455,32.369069,31.978872,31.552814,30.734414,32.620066,31.898344,31.493863,31.071489,30.643325,30.231371,29.558579,30.940691,30.366167,30.087749,29.663064,29.229538,28.940347,28.368261,29.467452,29.004709,28.797932,28.398535,27.998294,27.790162,27.382761,28.401606,28.126961,28.005834,27.649309,27.303388,27.207991,27.007274,3.811632,3.67437,3.5646,3.476945,3.406733,3.350152,3.304197,3.266539,3.235386,3.209364
